year,source,target,weight,avg_streams,distance,distance_norm
2017,pop rap,rap,326,55308209.38392858,0.15134550631046295,0.01448672131768855
2017,rap,trap,268,66061098.08695652,1.5895370244979858,0.17568488064541332
2017,hip hop,rap,250,58862715.67032967,0.9363394379615784,0.10247192722758347
2017,pop rap,trap,236,63798752.44444445,1.734451413154602,0.19192745502868347
2017,dance pop,pop,223,131551792.39130434,3.0454463958740234,0.33886892661278867
2017,pop,pop rap,216,89798453.94690265,6.244612216949463,0.69744400873498
2017,hip hop,pop rap,214,60289895.21348315,0.7850892543792725,0.0855192120411008
2017,pop,rap,207,69650079.65486726,6.182096481323242,0.6904369993175795
2017,hip hop,trap,178,55057573.25333333,2.502272844314575,0.277987899573197
2017,rap,southern hip hop,165,48413675.83333334,0.024079160764813423,0.00022220898613274382
2017,dance pop,pop rap,145,100121348.09195402,4.312432765960693,0.4808777398817436
2017,pop rap,southern hip hop,144,57912841.31578948,0.13317283987998962,0.012449857421869721
2017,hip hop,pop,140,74042932.3902439,6.782948970794678,0.7577829084718342
2017,atl hip hop,rap,135,68745912.87301587,1.2409336566925049,0.13661204471567012
2017,pop,trap,132,84981816.18571429,6.268553733825684,0.7001274680678679
2017,pop,post-teen pop,123,149848818.72941175,0.08003294467926025,0.00649372905864511
2017,pop,tropical house,121,138845855.36,2.601595163345337,0.28912033555647765
2017,southern hip hop,trap,120,57660110.01754386,1.6033806800842285,0.17723653198714953
2017,dance pop,rap,119,78466057.10810809,4.255396366119385,0.4744848759600553
2017,atl hip hop,pop rap,114,50331832.82758621,1.385309100151062,0.15279421200238394
2017,edm,pop,106,126062362.75,4.403779029846191,0.49111618824803893
2017,hip hop,southern hip hop,103,41072546.96666667,0.9169124364852905,0.10029447252865631
2017,reggaeton,tropical,99,134988684.21052632,5.40073823928833,0.6028592957928728
2017,melodic rap,rap,96,84359835.51162791,3.230860471725464,0.3596508651534708
2017,atl hip hop,trap,91,45636958.68292682,0.34981948137283325,0.036732464704376536
