source,target,weight,avg_streams,hyperbolic_distance
tropical house,uk pop,17,93063710.15384616,3.1838741302490234
alternative r&b,pop,17,148758300.6,5.957599639892578
dance pop,hip hop,17,43428379.2,4.83318567276001
post-teen pop,uk pop,17,140690145.75,0.6355648636817932
puerto rican pop,trap latino,16,174524558.45454547,3.6832799911499023
pop reggaeton,reggaeton,16,159397727.33333334,0.8412779569625854
colombian pop,latin pop,16,90888544.92857143,3.6068365573883057
bmore,pop,16,69108938.375,4.86866569519043
edm,reggaeton,16,116624295.6,7.6538262367248535
post-teen pop,reggaeton,16,104619281.0,6.75131893157959
edm,uk pop,16,89634387.76923077,4.942126750946045
rap,urban contemporary,16,11016999.222222222,2.7670226097106934
r&b en espanol,trap argentino,15,82924288.18181819,1.0327454805374146
puerto rican pop,reggaeton flow,15,152375333.375,3.537154197692871
panamanian pop,trap latino,15,127714645.90909092,2.3716583251953125
rap,reggaeton,15,150264226.27272728,3.464237928390503
atl trap,pop rap,15,42069980.6,4.174356937408447
tropical house,uk dance,15,38167561.75,1.6175553798675537
pop,trap latino,15,105905207.66666669,6.618862628936768
rap,sudanese pop,15,5867561.0,2.4110536575317383
canadian pop,trap,15,74131184.85714285,5.159708023071289
dirty south rap,pop rap,15,51289390.41666666,0.11315350234508514
pop rap,toronto rap,15,110894182.83333331,3.4643030166625977
cali rap,pop rap,15,53183002.2,1.5643986463546753
colombian pop,tropical,15,77702426.11111109,3.4937314987182617
contemporary country,pop,15,73213968.66666667,4.070781230926514
miami hip hop,pop rap,15,41271586.833333336,0.08116760104894638
pop rap,uk pop,15,56940925.9,6.643588542938232
pop rap,urban contemporary,15,19206519.7,2.815795660018921
latin hip hop,panamanian pop,14,99033318.92307691,2.223893880844116
post-teen pop,uk dance,14,58433125.0,3.674778461456299
rap,trap latino,14,140764885.5,3.3215243816375732
atl trap,trap,14,27205996.4,2.849579334259033
dfw rap,pop rap,14,84561541.84615384,2.8224449157714844
hip hop,post-teen pop,14,37861351.2,6.856173038482666
pop,tropical,14,74105350.33333333,6.058732509613037
cali rap,underground hip hop,14,29199589.66666667,2.6812877655029297
hip hop,miami hip hop,14,62553985.42857143,0.8585477471351624
perreo,reggaeton,14,27691961.5,0.575006902217865
latin hip hop,puerto rican pop,13,180083554.375,3.602785587310791
conscious hip hop,trap,13,46707728.75,3.0788674354553223
electro house,tropical house,13,43781120.27272727,2.526614189147949
electro house,post-teen pop,13,63137441.83333334,4.550042152404785
edm,rap,13,103992756.33333331,7.059203624725342
emo rap,trap,13,71203035.88888891,6.682662487030029
cali rap,hip hop,13,53040514.28571428,2.1501240730285645
conscious hip hop,pop rap,13,50544202.91666666,1.4197990894317627
pop rap,tropical house,13,70553332.6,6.076180934906006
chicago rap,trap,13,46205179.58333334,1.0911773443222046
german hip hop,hamburg hip hop,13,8088411.5,2.3843441009521484
trap argentino,tropical,12,64997961.25,6.163470268249512
house,uk dance,12,46042418.16666666,6.055557727813721
edm,uk dance,12,35775976.6,0.8258477449417114
edm,electro house,12,43781120.27272727,0.13876667618751526
chicago rap,melodic rap,12,56538159.90909091,2.1185126304626465
australian pop,pop,12,77706060.83333333,0.7881399989128113
reggaeton flow,trap argentino,12,88293326.57142857,4.413313388824463
pop rap,trap latino,12,145157630.33333334,3.315563440322876
hip hop,queens hip hop,12,24868307.8,0.8807339668273926
queens hip hop,underground hip hop,12,5867561.0,3.53830885887146
sudanese pop,underground hip hop,12,5867561.0,3.039996385574341
emo rap,rap,12,69944819.6,6.610829830169678
gangster rap,pop rap,12,74400326.41666667,0.946644127368927
latin pop,tropical,12,135272003.4,4.262543678283691
argentine hip hop,reggaeton,12,80173669.8,3.7592525482177734
hip hop,r&b,12,57511679.875,2.72749400138855
italian hip hop,trap italiana,12,7977814.5,1.775606632232666
modern rock,pop,12,129204282.33333331,4.456664562225342
rap,uk pop,12,75270340.0,6.581333160400391
post-teen pop,southern hip hop,12,40353195.09090909,6.248353958129883
pop,urban contemporary,12,43342222.63636363,3.9111056327819824
miami hip hop,underground hip hop,12,5421875.0,1.9513105154037476
perreo,reggaeton flow,12,22441274.666666668,0.7995507717132568
