source,target,weight,avg_streams,hyperbolic_distance
pop rap,rap,322,60792372.76666666,0.15134550631046295
rap,trap,312,67113897.11029412,1.5895370244979858
hip hop,rap,280,61676604.91452991,0.9363394379615784
pop rap,trap,235,55161259.58928572,1.734451413154602
dance pop,pop,234,98663839.86324786,3.0454463958740234
hip hop,pop rap,205,53978769.20652174,0.7850892543792725
pop,post-teen pop,191,92400636.92727272,0.08003294467926025
hip hop,trap,183,56674780.93333333,2.502272844314575
rap,southern hip hop,182,60940976.31868132,0.024079160764813423
pop,pop rap,177,78908486.36274509,6.244612216949463
pop,rap,155,82541663.31,6.182096481323242
southern hip hop,trap,134,49578615.20588236,1.6033806800842285
dance pop,post-teen pop,133,80155958.37349397,3.113837480545044
pop rap,southern hip hop,132,66831258.22058824,0.13317283987998962
pop,tropical house,125,101663869.8101266,2.601595163345337
hip hop,southern hip hop,121,65773740.09090909,0.9169124364852905
atl hip hop,rap,116,64552276.47826087,1.2409336566925049
edm,pop,113,98082328.53521128,4.403779029846191
reggaeton,tropical,109,113431950.72916669,5.40073823928833
dance pop,pop rap,108,77711040.18571429,4.312432765960693
hip hop,pop,99,58636787.95,6.782948970794678
melodic rap,rap,95,50897341.78125,3.230860471725464
pop,trap,91,59773248.63461538,6.268553733825684
atl hip hop,pop rap,90,60977015.8245614,1.385309100151062
melodic rap,trap,89,66948558.296875,1.882545828819275
pop rap,post-teen pop,89,80764080.80327868,6.3178911209106445
dance pop,tropical house,88,96899760.56140351,3.3455538749694824
reggaeton,trap latino,88,130486755.06060606,0.3100821375846863
reggaeton,reggaeton flow,86,105838382.41666669,0.5666981935501099
electropop,pop,83,67783156.57407407,1.3771981000900269
atl hip hop,hip hop,81,52190759.47058824,2.152492046356201
latin hip hop,reggaeton,81,117881686.85714284,0.1315636783838272
atl hip hop,trap,80,53615659.0,0.34981948137283325
dance pop,edm,79,101220121.2962963,4.617435932159424
dance pop,rap,78,79854742.47169812,4.255396366119385
post-teen pop,tropical house,69,78431475.4,2.681640386581421
post-teen pop,rap,67,82649552.78723404,6.255392551422119
east coast hip hop,hardcore hip hop,65,4098826.5,0.0855555534362793
edm,post-teen pop,63,86110912.40816326,4.483626365661621
east coast hip hop,hip hop,60,26906400.125,0.8820766806602478
melodic rap,pop rap,59,60710917.73913044,3.3640730381011963
hardcore hip hop,hip hop,59,21568635.33333333,0.8005129098892212
gangster rap,rap,58,28660456.21428572,1.0974823236465454
trap latino,tropical,56,113174182.93103448,5.3718953132629395
gangster rap,hip hop,55,34742321.77272727,0.17095504701137543
atl hip hop,southern hip hop,54,51930884.7027027,1.2544959783554077
east coast hip hop,rap,54,48641128.07692308,1.725687861442566
pop,southern hip hop,53,53029491.74193549,6.175060749053955
dance pop,trap,52,72878317.78378378,4.4095892906188965
hip hop,melodic rap,49,64813558.92307692,4.101739883422852
dance pop,hip hop,49,45966663.84375,4.83318567276001
dance pop,electropop,48,67345336.31578948,2.9810147285461426
reggaeton flow,trap latino,47,125921267.06666666,0.2923172414302826
electropop,post-teen pop,45,64578387.81081081,1.4537031650543213
latin hip hop,trap latino,44,123328846.47058824,0.23845121264457703
latin pop,reggaeton,44,108370908.66666669,5.036357402801514
hip hop,post-teen pop,44,54805156.51724138,6.856173038482666
hardcore hip hop,rap,44,17264867.25,1.6496384143829346
post-teen pop,trap,43,74758544.38709678,6.342065811157227
reggaeton flow,tropical,40,101597235.3846154,5.228826522827148
edm,tropical house,40,76970302.875,2.441877841949463
alternative hip hop,hardcore hip hop,40,4285515.0,0.8379079103469849
melodic rap,southern hip hop,39,60859870.17142857,3.240119218826294
gangster rap,pop rap,37,33356252.2,0.946644127368927
latin hip hop,reggaeton flow,36,118057532.8,0.45390844345092773
latin hip hop,tropical,36,99417142.8125,5.288719654083252
pop,uk pop,36,149710803.68,0.6881623268127441
atl hip hop,pop,35,76892558.57692307,6.041138172149658
alternative hip hop,east coast hip hop,35,4285515.0,0.885725736618042
atl hip hop,melodic rap,33,57264012.0,2.0951173305511475
miami hip hop,rap,33,76564005.16666667,0.0851985439658165
electro house,pop,33,97850346.78571428,4.470213890075684
edm,pop rap,32,86790727.0,7.124866008758545
gangster rap,hardcore hip hop,32,4285515.0,0.6407527923583984
puerto rican pop,reggaeton,31,126061597.61111107,3.715629816055298
r&b,rap,31,75387001.04,2.1721227169036865
pop,uk dance,31,121934397.5,3.5948879718780518
alternative hip hop,hip hop,31,30396884.0,0.7604468464851379
east coast hip hop,gangster rap,31,5061647.0,0.7228440642356873
chicago rap,rap,30,48410265.54166666,2.6674013137817383
pop rap,tropical house,30,77507263.52380952,6.076180934906006
east coast hip hop,southern hip hop,30,24530576.375,1.7032444477081299
dance pop,southern hip hop,30,39155859.57894737,4.2474164962768555
conscious hip hop,rap,29,59946143.35,1.5652261972427368
electropop,tropical house,28,55638364.0952381,1.4655369520187378
gangster rap,trap,28,37638011.125,2.6547112464904785
melodic rap,pop,27,112636632.8095238,7.239116668701172
pop,reggaeton,27,140957895.5,6.678582668304443
gangster rap,southern hip hop,27,43694965.66666666,1.0773348808288574
dance pop,uk pop,27,143403571.9047619,3.3772289752960205
emo rap,rap,26,57785775.86956522,6.610829830169678
post-teen pop,southern hip hop,26,59416422.88888889,6.248353958129883
miami hip hop,trap,26,73580259.14285715,1.6543807983398438
chicago rap,trap,25,50681765.3,1.0911773443222046
dirty south rap,rap,25,49978215.88235294,0.14029273390769958
puerto rican pop,tropical,25,123421320.57894737,1.7396130561828613
edm,electropop,25,51077827.23809524,3.492652416229248
emo rap,trap,24,55589701.21052632,6.682662487030029
dirty south rap,pop rap,24,49978215.88235294,0.11315350234508514
dirty south rap,trap,24,49978215.88235294,1.7164281606674194
latin pop,tropical,24,94165914.47619048,4.262543678283691
dance pop,uk dance,24,137697813.94444445,3.8426332473754883
post-teen pop,uk dance,24,110709707.3,3.674778461456299
hardcore hip hop,southern hip hop,24,4285515.0,1.6272850036621094
canadian pop,rap,23,125807816.8235294,5.072595596313477
pop rap,r&b,23,64853032.82352942,2.2231035232543945
dance pop,reggaeton,23,113453424.4375,4.575284957885742
alternative hip hop,rap,23,30396884.0,1.1619281768798828
hip pop,rap,22,53773176.13333333,0.526883602142334
rap,urban contemporary,22,56700004.1875,2.7670226097106934
conscious hip hop,hip hop,22,51644018.07692308,0.7202031016349792
miami hip hop,pop rap,22,57597283.27777778,0.08116760104894638
tropical house,uk pop,22,145262907.11764705,3.1838741302490234
conscious hip hop,pop rap,21,72228925.5625,1.4197990894317627
chicago rap,pop rap,21,39919652.66666666,2.8139703273773193
