source,target,weight,avg_streams,hyperbolic_distance
pop rap,rap,326,55308209.38392858,0.15134550631046295
rap,trap,268,66061098.08695652,1.5895370244979858
hip hop,rap,250,58862715.67032967,0.9363394379615784
pop rap,trap,236,63798752.44444445,1.734451413154602
dance pop,pop,223,131551792.39130434,3.0454463958740234
pop,pop rap,216,89798453.94690265,6.244612216949463
hip hop,pop rap,214,60289895.21348315,0.7850892543792725
pop,rap,207,69650079.65486726,6.182096481323242
hip hop,trap,178,55057573.25333333,2.502272844314575
rap,southern hip hop,165,48413675.83333334,0.024079160764813423
dance pop,pop rap,145,100121348.09195402,4.312432765960693
pop rap,southern hip hop,144,57912841.31578948,0.13317283987998962
hip hop,pop,140,74042932.3902439,6.782948970794678
atl hip hop,rap,135,68745912.87301587,1.2409336566925049
pop,trap,132,84981816.18571429,6.268553733825684
pop,post-teen pop,123,149848818.72941175,0.08003294467926025
pop,tropical house,121,138845855.36,2.601595163345337
southern hip hop,trap,120,57660110.01754386,1.6033806800842285
dance pop,rap,119,78466057.10810809,4.255396366119385
atl hip hop,pop rap,114,50331832.82758621,1.385309100151062
edm,pop,106,126062362.75,4.403779029846191
hip hop,southern hip hop,103,41072546.96666667,0.9169124364852905
reggaeton,tropical,99,134988684.21052632,5.40073823928833
melodic rap,rap,96,84359835.51162791,3.230860471725464
atl hip hop,trap,91,45636958.68292682,0.34981948137283325
dance pop,tropical house,90,143039982.0,3.3455538749694824
pop rap,post-teen pop,90,113224356.43939394,6.3178911209106445
pop,southern hip hop,88,76635231.5,6.175060749053955
atl hip hop,hip hop,87,50119361.14583334,2.152492046356201
dance pop,post-teen pop,87,154026040.76190478,3.113837480545044
dance pop,trap,81,97060720.8076923,4.4095892906188965
dance pop,edm,79,131937352.22807015,4.617435932159424
dance pop,hip hop,79,91671561.9245283,4.83318567276001
melodic rap,pop rap,76,69815024.8372093,3.3640730381011963
post-teen pop,rap,74,93519484.34545454,6.255392551422119
reggaeton,trap latino,74,85171536.13043478,0.3100821375846863
reggaeton,reggaeton flow,72,105325509.8181818,0.5666981935501099
latin hip hop,reggaeton,67,104814658.5,0.1315636783838272
atl hip hop,southern hip hop,66,43135903.1025641,1.2544959783554077
melodic rap,trap,62,83957351.93939394,1.882545828819275
electropop,pop,57,145717129.04545453,1.3771981000900269
edm,post-teen pop,56,150466525.92,4.483626365661621
hip hop,post-teen pop,56,102028954.90697674,6.856173038482666
atl hip hop,pop,55,97793136.45945944,6.041138172149658
dance pop,southern hip hop,55,76423937.0,4.2474164962768555
post-teen pop,tropical house,54,161958573.64583334,2.681640386581421
electro house,pop,54,102672549.53488372,4.470213890075684
hip hop,melodic rap,52,74714386.72413793,4.101739883422852
trap latino,tropical,47,94851526.11111107,5.3718953132629395
post-teen pop,trap,45,120466913.77777778,6.342065811157227
latin hip hop,tropical,44,172474535.78947368,5.288719654083252
pop rap,tropical house,43,108162725.6,6.076180934906006
edm,tropical house,43,118355595.81481482,2.441877841949463
edm,pop rap,41,111136396.03333332,7.124866008758545
dance pop,electro house,41,116810930.06060606,4.67236328125
reggaeton flow,tropical,41,104517406.46666668,5.228826522827148
pop,uk dance,40,110718296.56666666,3.5948879718780518
rap,urban contemporary,40,69186434.23076923,2.7670226097106934
melodic rap,southern hip hop,38,54770998.76923077,3.240119218826294
melodic rap,pop,38,106988784.1818182,7.239116668701172
