source,target,weight,avg_streams,hyperbolic_distance
cali rap,trap,17,53183002.2,2.262141704559326
tropical house,uk pop,17,93063710.15384616,3.254850387573242
alternative r&b,pop,17,148758300.6,3.280791759490967
dance pop,hip hop,17,43428379.2,2.475984811782837
post-teen pop,uk pop,17,140690145.75,1.3755309581756592
puerto rican pop,trap latino,16,174524558.45454547,2.642282485961914
pop reggaeton,reggaeton,16,159397727.33333334,1.4575575590133667
colombian pop,latin pop,16,90888544.92857143,3.124025583267212
bmore,pop,16,69108938.375,3.9015188217163086
edm,reggaeton,16,116624295.6,7.620598793029785
post-teen pop,reggaeton,16,104619281.0,4.8881940841674805
edm,uk pop,16,89634387.76923077,6.604551315307617
rap,urban contemporary,16,11016999.222222222,1.7282488346099854
r&b en espanol,trap argentino,15,82924288.18181819,3.126901865005493
puerto rican pop,reggaeton flow,15,152375333.375,1.7210525274276733
panamanian pop,trap latino,15,127714645.90909092,2.5759942531585693
rap,reggaeton,15,150264226.27272728,4.469367980957031
atl trap,pop rap,15,42069980.6,4.360286712646484
tropical house,uk dance,15,38167561.75,2.812713861465454
pop,trap latino,15,105905207.66666669,4.641670227050781
rap,sudanese pop,15,5867561.0,1.5216901302337646
canadian pop,trap,15,74131184.85714285,4.266638278961182
dirty south rap,pop rap,15,51289390.41666666,0.03579946234822273
pop rap,toronto rap,15,110894182.83333331,3.4097957611083984
cali rap,pop rap,15,53183002.2,1.1857349872589111
colombian pop,tropical,15,77702426.11111109,1.275598406791687
contemporary country,pop,15,73213968.66666667,2.477708578109741
miami hip hop,pop rap,15,41271586.833333336,0.11207181215286255
pop rap,uk pop,15,56940925.9,5.253020763397217
pop rap,urban contemporary,15,19206519.7,1.7239748239517212
latin hip hop,panamanian pop,14,99033318.92307691,2.612480401992798
post-teen pop,uk dance,14,58433125.0,4.700468063354492
rap,trap latino,14,140764885.5,4.3898138999938965
atl trap,trap,14,27205996.4,3.8547043800354004
dfw rap,pop rap,14,84561541.84615384,1.5929349660873413
hip hop,post-teen pop,14,37861351.2,4.858559608459473
pop,tropical,14,74105350.33333333,5.5025248527526855
cali rap,underground hip hop,14,29199589.66666667,2.3965659141540527
hip hop,miami hip hop,14,62553985.42857143,1.0971614122390747
perreo,reggaeton,14,27691961.5,2.2271623611450195
latin hip hop,puerto rican pop,13,180083554.375,2.6906473636627197
conscious hip hop,trap,13,46707728.75,2.8752706050872803
electro house,tropical house,13,43781120.27272727,3.4243946075439453
electro house,post-teen pop,13,63137441.83333334,5.300586700439453
edm,rap,13,103992756.33333331,7.534839630126953
emo rap,trap,13,71203035.88888891,5.880660057067871
cali rap,hip hop,13,53040514.28571428,1.487302303314209
conscious hip hop,pop rap,13,50544202.91666666,1.6720608472824097
pop rap,tropical house,13,70553332.6,4.133120536804199
